traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
YIELD,UNKNOWN,UNKNOWN,OTHER NONCOLLISION,PARKING LOT,CURVE ON GRADE,SAND,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",3,"REPORTED, NOT EVIDENT",5,2,3,8,13,35,16,4,5
NO CONTROLS,CLEAR,LIGHTED ROAD,TURNING,ALLEY,CURVE,SNOW OR SLUSH,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",UNABLE TO DETERMINE,11,NONINCAPACITATING INJURY,6,1,2,3,2,9,22,4,11
NO CONTROLS,SNOW,UNKNOWN,ANIMAL,ROUN,STRAIGHT ON GRADE,SNOW OR SLUSH,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISREGARDING YIELD SIGN,11,NONINCAPACITATING INJURY,19,2,1,1,8,29,13,7,11
RAILROAD CROSSING GATE,SLEET/HAIL,DAYLIGHT,ANIMAL,DRIVEWAY,STRAIGHT ON GRADE,OTHER,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",8,"REPORTED, NOT EVIDENT",11,1,0,20,9,6,16,3,2
DELINEATORS,BLOWING SNOW,UNKNOWN,ANIMAL,"FIVE POINT, OR MORE",STRAIGHT ON GRADE,MUD,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",10,NO INDICATION OF INJURY,16,2,1,11,4,43,19,6,12
SCHOOL ZONE,SNOW,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,STRAIGHT ON GRADE,SAND,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",PASSING STOPPED SCHOOL BUS,10,FATAL,8,2,4,1,1,44,9,4,6
POLICE/FLAGMAN,FOG/SMOKE/HAZE,DAWN,ANGLE,UNKNOWN INTERSECTION TYPE,STRAIGHT ON GRADE,ICE,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",IMPROPER LANE USAGE,1,NONINCAPACITATING INJURY,3,1,2,17,11,18,17,2,5
OTHER REG. SIGN,CLEAR,LIGHTED ROAD,OTHER NONCOLLISION,FOUR WAY,STRAIGHT AND LEVEL,SNOW OR SLUSH,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",11,FATAL,11,0,4,12,5,26,0,5,10
OTHER RAILROAD CROSSING,OTHER,UNKNOWN,PEDALCYCLIST,UNKNOWN INTERSECTION TYPE,LEVEL,ICE,WORN SURFACE,NO INJURY / DRIVE AWAY,N,$500 OR LESS,ANIMAL,6,NONINCAPACITATING INJURY,6,1,5,20,8,29,1,4,6
FLASHING CONTROL SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,SIDESWIPE SAME DIRECTION,DRIVEWAY,CURVE ON GRADE,MUD,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER LANE USAGE,1,FATAL,14,3,6,14,0,17,15,2,4
DELINEATORS,SOIL,DARKNESS,REAR TO REAR,OTHER,CURVE ON HILLCREST,ICE,RUT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",6,"REPORTED, NOT EVIDENT",3,0,2,16,5,4,10,7,2
SCHOOL ZONE,BLOWING SNOW,LIGHTED ROAD,REAR TO REAR,L-INTERSECTION,CURVE,SAND,UNKNOWN,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISREGARDING ROAD MARKINGS,9,FATAL,19,1,7,12,11,9,23,3,8
NO CONTROLS,BLOWING SAND,DUSK,SIDESWIPE OPPOSITE DIRECTION,DRIVEWAY,LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,IMPROPER BACKING,9,"REPORTED, NOT EVIDENT",13,0,0,4,13,38,14,7,8
OTHER,UNKNOWN,UNKNOWN,ANIMAL,ONE-WAY,LEVEL,MUD,OTHER,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",9,NONINCAPACITATING INJURY,14,2,6,10,6,5,23,5,12
DELINEATORS,BLOWING SNOW,DAYLIGHT,REAR TO FRONT,DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,ICE,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING ROAD MARKINGS,6,NONINCAPACITATING INJURY,5,0,2,14,9,4,5,2,2
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,CURVE ON HILLCREST,DIRT,RUT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,WEATHER,9,NONINCAPACITATING INJURY,8,1,7,9,5,1,23,3,7
POLICE/FLAGMAN,SEVERE CROSS WIND GATE,DAYLIGHT,FIXED OBJECT,Y-INTERSECTION,CURVE ON GRADE,DIRT,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING ROAD MARKINGS,7,NO INDICATION OF INJURY,5,3,1,9,8,14,12,5,11
DELINEATORS,UNKNOWN,DAWN,PARKED MOTOR VEHICLE,RAMP,STRAIGHT ON GRADE,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,IMPROPER LANE USAGE,4,"REPORTED, NOT EVIDENT",18,1,1,12,15,22,15,3,6
FLASHING CONTROL SIGNAL,FREEZING RAIN/DRIZZLE,UNKNOWN,OTHER NONCOLLISION,"FIVE POINT, OR MORE",CURVE ON HILLCREST,MUD,RUT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,3,NO INDICATION OF INJURY,16,1,7,1,0,45,21,2,5
PEDESTRIAN CROSSING SIGN,DIRT,UNKNOWN,ANIMAL,Y-INTERSECTION,CURVE ON GRADE,WET,UNKNOWN,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",7,NONINCAPACITATING INJURY,7,3,0,0,14,13,2,6,3
RAILROAD CROSSING GATE,SLEET/HAIL,LIGHTED ROAD,PARKED MOTOR VEHICLE,FOUR WAY,STRAIGHT ON HILLCREST,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING OTHER TRAFFIC SIGNS,10,INCAPACITATING INJURY,19,2,5,19,15,2,5,6,8
RR CROSSING SIGN,SNOW,LIGHTED ROAD,REAR END,OTHER,LEVEL,SAND,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",ANIMAL,9,"REPORTED, NOT EVIDENT",8,1,5,4,15,5,17,1,11
NO CONTROLS,BLOWING SAND,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,DIRT,RUT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",EQUIPMENT - VEHICLE CONDITION,8,NONINCAPACITATING INJURY,14,3,3,19,15,16,23,1,5
LANE USE MARKING,SLEET/HAIL,UNKNOWN,REAR TO REAR,Y-INTERSECTION,STRAIGHT ON GRADE,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISREGARDING OTHER TRAFFIC SIGNS,8,NONINCAPACITATING INJURY,14,0,7,12,6,40,18,6,7
NO PASSING,CLEAR,UNKNOWN,OVERTURNED,T-INTERSECTION,STRAIGHT ON GRADE,OTHER,OTHER,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",NOT APPLICABLE,10,NONINCAPACITATING INJURY,8,0,0,11,7,37,9,3,1
POLICE/FLAGMAN,OTHER,UNKNOWN,REAR TO REAR,ALLEY,STRAIGHT ON HILLCREST,UNKNOWN,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",ROAD CONSTRUCTION/MAINTENANCE,6,NO INDICATION OF INJURY,18,1,3,10,0,17,13,4,10
STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,PARKED MOTOR VEHICLE,TRAFFIC ROUTE,CURVE ON HILLCREST,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",EQUIPMENT - VEHICLE CONDITION,6,"REPORTED, NOT EVIDENT",16,1,6,11,6,2,14,3,9
BICYCLE CROSSING SIGN,CLEAR,DAYLIGHT,REAR TO REAR,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,UNKNOWN,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,2,NONINCAPACITATING INJURY,1,2,7,7,0,29,12,2,10
OTHER RAILROAD CROSSING,UNKNOWN,DAWN,TURNING,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISREGARDING YIELD SIGN,11,INCAPACITATING INJURY,5,1,7,16,1,17,1,1,10
BICYCLE CROSSING SIGN,DIRT,DAWN,OTHER NONCOLLISION,TRAFFIC ROUTE,CURVE ON GRADE,WET,OTHER,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,8,INCAPACITATING INJURY,16,2,2,10,6,43,9,3,10
STOP SIGN/FLASHER,BLOWING SAND,UNKNOWN,ANIMAL,ALLEY,CURVE ON GRADE,MUD,HOLES,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),8,INCAPACITATING INJURY,9,0,5,18,1,35,20,1,4
OTHER,BLOWING SAND,DUSK,REAR END,"FIVE POINT, OR MORE",STRAIGHT ON GRADE,OTHER,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",PASSING STOPPED SCHOOL BUS,11,"REPORTED, NOT EVIDENT",16,2,6,2,3,5,17,3,1
NO PASSING,SOIL,DUSK,PEDALCYCLIST,ONE-WAY,LEVEL,WET,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,RELATED TO BUS STOP,11,"REPORTED, NOT EVIDENT",12,3,2,3,9,18,16,5,10
POLICE/FLAGMAN,SEVERE CROSS WIND GATE,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,OTHER,CURVE ON HILLCREST,WET,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",WEATHER,2,"REPORTED, NOT EVIDENT",3,1,7,5,4,27,14,4,11
BICYCLE CROSSING SIGN,FREEZING RAIN/DRIZZLE,LIGHTED ROAD,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN BARRIER,CURVE ON GRADE,SAND,OTHER,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,9,NO INDICATION OF INJURY,2,1,2,7,9,6,18,1,10
RAILROAD CROSSING GATE,DIRT,DARKNESS,PEDESTRIAN,Y-INTERSECTION,LEVEL,MUD,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",7,NONINCAPACITATING INJURY,4,2,4,3,4,15,4,5,3
RAILROAD CROSSING GATE,SNOW,DAYLIGHT,PEDALCYCLIST,UNKNOWN INTERSECTION TYPE,CURVE,UNKNOWN,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",RELATED TO BUS STOP,3,"REPORTED, NOT EVIDENT",13,1,3,3,5,46,19,7,1
BICYCLE CROSSING SIGN,BLOWING SNOW,DARKNESS,FIXED OBJECT,ALLEY,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DRIVING ON WRONG SIDE/WRONG WAY,2,FATAL,10,2,0,3,10,16,23,2,5
OTHER RAILROAD CROSSING,OTHER,LIGHTED ROAD,REAR TO FRONT,FOUR WAY,STRAIGHT ON GRADE,DIRT,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,TURNING RIGHT ON RED,10,NO INDICATION OF INJURY,19,0,6,1,14,47,6,2,9
NO CONTROLS,SLEET/HAIL,DUSK,OVERTURNED,Y-INTERSECTION,STRAIGHT AND LEVEL,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING ROAD MARKINGS,7,NONINCAPACITATING INJURY,11,2,6,16,13,8,9,1,6
SCHOOL ZONE,OTHER,UNKNOWN,PARKED MOTOR VEHICLE,"FIVE POINT, OR MORE",CURVE ON HILLCREST,OTHER,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",11,FATAL,17,1,2,4,15,0,1,5,3
SCHOOL ZONE,DIRT,LIGHTED ROAD,OTHER OBJECT,ROUN,STRAIGHT ON HILLCREST,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,TURNING RIGHT ON RED,1,NO INDICATION OF INJURY,18,1,6,6,11,18,19,7,4
TRAFFIC SIGNAL,SNOW,UNKNOWN,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,DIRT,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DISREGARDING YIELD SIGN,6,"REPORTED, NOT EVIDENT",6,0,6,4,11,30,18,1,5
OTHER,BLOWING SAND,DAYLIGHT,ANGLE,TRAFFIC ROUTE,CURVE ON HILLCREST,WET,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,2,NO INDICATION OF INJURY,5,2,7,20,13,42,9,7,7
OTHER,SEVERE CROSS WIND GATE,DAYLIGHT,PARKED MOTOR VEHICLE,RAMP,CURVE,ICE,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,8,FATAL,2,1,7,20,7,26,7,5,11
NO CONTROLS,DIRT,DAYLIGHT,OTHER NONCOLLISION,TRAFFIC ROUTE,CURVE ON HILLCREST,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",TEXTING,8,INCAPACITATING INJURY,13,3,5,12,2,2,22,1,1
DELINEATORS,RAIN,DAYLIGHT,REAR TO FRONT,RAMP,CURVE,ICE,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",IMPROPER TURNING/NO SIGNAL,1,FATAL,17,0,5,9,12,49,18,5,11
STOP SIGN/FLASHER,DIRT,DAYLIGHT,REAR TO FRONT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON GRADE,OTHER,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,1,"REPORTED, NOT EVIDENT",16,3,3,1,12,39,21,6,5
STOP SIGN/FLASHER,SNOW,DUSK,TURNING,CENTER TURN LANE,STRAIGHT ON GRADE,SNOW OR SLUSH,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),5,NO INDICATION OF INJURY,4,1,3,15,3,2,20,2,6
DELINEATORS,FREEZING RAIN/DRIZZLE,UNKNOWN,PEDESTRIAN,ROUN,STRAIGHT ON HILLCREST,DRY,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",DISREGARDING YIELD SIGN,7,FATAL,13,2,4,12,1,3,6,2,12
OTHER WARNING SIGN,SEVERE CROSS WIND GATE,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,CURVE,MUD,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,ROAD CONSTRUCTION/MAINTENANCE,6,"REPORTED, NOT EVIDENT",3,0,0,0,2,34,11,6,4
SCHOOL ZONE,DIRT,DARKNESS,REAR TO FRONT,OTHER,STRAIGHT ON HILLCREST,SNOW OR SLUSH,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,8,INCAPACITATING INJURY,4,3,3,7,13,42,12,1,3
NO PASSING,FOG/SMOKE/HAZE,DAWN,PEDESTRIAN,NOT DIVIDED,STRAIGHT ON GRADE,SNOW OR SLUSH,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",FOLLOWING TOO CLOSELY,7,NONINCAPACITATING INJURY,10,2,5,10,8,24,5,3,7
SCHOOL ZONE,SLEET/HAIL,DAYLIGHT,HEAD ON,NOT DIVIDED,STRAIGHT ON HILLCREST,OTHER,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",RELATED TO BUS STOP,10,FATAL,14,2,0,9,1,3,15,1,10
OTHER RAILROAD CROSSING,CLOUDY/OVERCAST,LIGHTED ROAD,ANIMAL,ONE-WAY,STRAIGHT AND LEVEL,WET,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,BICYCLE ADVANCING LEGALLY ON RED LIGHT,9,"REPORTED, NOT EVIDENT",5,0,1,9,14,35,11,4,11
POLICE/FLAGMAN,SLEET/HAIL,DUSK,OVERTURNED,ONE-WAY,CURVE ON HILLCREST,SAND,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,11,NONINCAPACITATING INJURY,15,0,4,10,0,16,3,7,9
PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,DAYLIGHT,TRAIN,OTHER,CURVE ON GRADE,OTHER,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,11,FATAL,13,1,3,0,1,29,23,3,10
OTHER REG. SIGN,UNKNOWN,LIGHTED ROAD,HEAD ON,UNKNOWN,STRAIGHT ON HILLCREST,MUD,OTHER,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,11,INCAPACITATING INJURY,10,3,0,6,15,1,12,7,2
RAILROAD CROSSING GATE,BLOWING SAND,DUSK,SIDESWIPE SAME DIRECTION,T-INTERSECTION,CURVE,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",PASSING STOPPED SCHOOL BUS,1,INCAPACITATING INJURY,2,2,5,5,0,2,23,5,2
DELINEATORS,SEVERE CROSS WIND GATE,LIGHTED ROAD,REAR END,"FIVE POINT, OR MORE",CURVE ON GRADE,UNKNOWN,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",DISREGARDING ROAD MARKINGS,10,NO INDICATION OF INJURY,9,0,0,2,13,6,11,1,10
SCHOOL ZONE,SEVERE CROSS WIND GATE,DAYLIGHT,TRAIN,UNKNOWN,STRAIGHT AND LEVEL,WET,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER OVERTAKING/PASSING,10,"REPORTED, NOT EVIDENT",16,2,6,18,7,22,18,4,6
DELINEATORS,BLOWING SAND,LIGHTED ROAD,ANGLE,PARKING LOT,STRAIGHT ON HILLCREST,SAND,RUT,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",TEXTING,11,"REPORTED, NOT EVIDENT",19,0,0,21,7,33,18,6,9
TRAFFIC SIGNAL,SLEET/HAIL,DUSK,REAR TO REAR,ROUN,LEVEL,OTHER,WORN SURFACE,NO INJURY / DRIVE AWAY,N,$500 OR LESS,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",9,NO INDICATION OF INJURY,1,1,4,21,13,19,21,7,10
OTHER WARNING SIGN,SNOW,DAWN,TRAIN,ROUN,CURVE ON HILLCREST,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,DISTRACTION - FROM OUTSIDE VEHICLE,5,NO INDICATION OF INJURY,13,2,4,17,4,6,23,2,12
BICYCLE CROSSING SIGN,FOG/SMOKE/HAZE,DAYLIGHT,SIDESWIPE SAME DIRECTION,OTHER,CURVE,WET,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",EQUIPMENT - VEHICLE CONDITION,11,NONINCAPACITATING INJURY,16,0,6,12,1,35,22,3,5
FLASHING CONTROL SIGNAL,SNOW,DAWN,PARKED MOTOR VEHICLE,PARKING LOT,LEVEL,OTHER,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE),6,"REPORTED, NOT EVIDENT",12,1,4,16,6,14,6,2,12
DELINEATORS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,LEVEL,ICE,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,FOLLOWING TOO CLOSELY,5,INCAPACITATING INJURY,18,0,6,4,0,17,6,5,7
TRAFFIC SIGNAL,SNOW,UNKNOWN,OTHER NONCOLLISION,ROUN,STRAIGHT AND LEVEL,DRY,HOLES,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,10,INCAPACITATING INJURY,18,0,7,12,4,43,9,5,6
LANE USE MARKING,OTHER,DARKNESS,OVERTURNED,L-INTERSECTION,STRAIGHT ON HILLCREST,DIRT,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,FAILING TO REDUCE SPEED TO AVOID CRASH,3,FATAL,7,1,6,19,10,34,5,6,7
RAILROAD CROSSING GATE,FREEZING RAIN/DRIZZLE,DARKNESS,PEDALCYCLIST,UNKNOWN,STRAIGHT AND LEVEL,SNOW OR SLUSH,RUT,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,DISREGARDING STOP SIGN,6,FATAL,7,0,6,17,14,0,4,5,12
OTHER REG. SIGN,SLEET/HAIL,DUSK,ANGLE,ONE-WAY,STRAIGHT ON HILLCREST,WET,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING YIELD SIGN,6,INCAPACITATING INJURY,3,3,0,13,12,22,13,4,5
PEDESTRIAN CROSSING SIGN,CLEAR,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,Y-INTERSECTION,STRAIGHT ON GRADE,OTHER,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",ROAD ENGINEERING/SURFACE/MARKING DEFECTS,10,NONINCAPACITATING INJURY,7,2,5,20,15,10,0,1,7
SCHOOL ZONE,CLOUDY/OVERCAST,DUSK,REAR TO SIDE,TRAFFIC ROUTE,CURVE ON HILLCREST,SAND,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",1,NO INDICATION OF INJURY,15,0,7,10,11,19,12,6,1
