traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
0,0,0,2,1,0,1,0,1,0,0,2,0,2,0,1,1,0,1,5,3,8
1,2,1,2,1,1,0,1,0,0,1,3,1,3,0,1,0,0,1,15,5,3
2,1,1,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,6,5,10
0,2,1,0,1,1,0,1,1,0,0,2,0,1,0,1,1,0,1,8,2,8
0,2,1,0,0,1,1,0,1,0,0,1,1,2,0,1,0,0,0,0,1,10
1,2,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,2,12,5,4
1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,9,2,11
0,2,1,1,1,0,1,1,0,0,0,4,0,1,0,0,1,0,2,12,6,4
0,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,1,0,19,7,4
1,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0,0,0,2,10,5,9
1,0,0,1,1,0,1,0,1,1,0,2,1,2,0,1,1,1,2,12,5,12
0,1,1,1,1,1,1,0,1,0,0,2,0,2,0,0,1,0,1,14,3,5
0,2,1,1,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,22,2,8
1,1,0,2,1,1,1,0,0,0,1,2,1,3,0,0,0,0,0,17,7,12
2,1,1,0,1,0,0,1,0,0,0,2,1,2,0,1,0,1,1,21,4,8
2,2,1,1,0,1,0,1,1,1,0,4,0,3,0,1,0,1,1,8,7,7
1,0,1,0,1,0,1,1,1,1,0,3,0,0,0,1,1,1,2,23,4,3
2,2,1,0,0,1,0,1,0,1,1,2,1,2,0,0,1,1,1,21,1,2
1,2,0,2,1,1,0,1,1,0,1,1,0,2,0,1,0,0,0,23,7,3
1,2,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,5,1
0,0,1,1,1,1,0,0,0,1,1,2,1,3,0,1,0,1,0,14,4,3
0,2,1,1,1,1,1,1,1,0,0,4,0,0,0,1,1,1,0,11,5,3
1,0,0,1,0,1,0,1,0,1,0,3,1,1,0,0,0,1,1,23,1,12
1,2,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,20,5,10
0,1,0,0,0,1,0,1,1,0,1,3,1,0,0,0,1,1,0,13,2,2
0,0,0,2,0,0,0,1,1,1,1,4,1,1,0,0,1,1,0,3,5,4
0,0,1,2,1,0,1,1,0,0,0,2,1,1,0,0,1,1,2,22,2,4
1,1,1,0,1,1,1,1,1,1,1,4,0,1,0,1,1,1,1,5,5,4
2,0,0,1,0,1,0,1,1,0,1,4,0,1,0,1,1,1,0,8,3,9
0,0,1,1,0,0,1,0,1,0,0,4,1,2,0,0,0,0,0,14,6,4
1,1,0,1,1,0,0,0,0,0,0,3,1,3,0,0,0,1,1,4,2,12
1,1,0,2,1,1,1,0,1,1,0,2,0,0,0,0,0,1,1,6,2,2
0,1,1,0,0,1,0,0,0,0,0,4,1,2,0,0,1,1,1,2,2,3
2,2,0,1,0,1,1,0,1,1,0,1,1,3,0,1,0,1,1,22,2,5
0,2,1,1,1,0,0,0,1,1,0,4,0,1,0,0,1,1,2,1,2,11
0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,5,3,8
2,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,1,1,0,23,5,9
1,0,0,1,1,0,0,1,1,1,0,4,1,1,0,0,1,0,2,20,3,3
2,0,0,1,0,0,0,0,0,0,0,4,1,3,0,0,1,1,1,9,6,1
0,1,0,0,0,1,0,1,0,1,1,4,0,3,0,0,0,1,1,0,1,2
0,0,1,0,0,0,0,1,1,1,0,1,0,3,0,1,0,1,2,9,4,1
2,1,1,1,0,0,0,0,1,1,0,3,1,1,0,1,0,1,1,8,4,2
2,2,1,1,0,0,0,1,1,0,1,3,0,2,0,0,1,1,1,8,7,9
2,0,0,0,1,1,0,0,0,1,1,2,0,2,0,1,1,0,0,15,2,12
0,1,0,1,0,0,1,0,1,0,0,4,1,0,0,1,1,1,1,7,7,1
2,1,0,1,1,0,1,0,1,0,1,3,0,0,0,0,1,0,2,6,6,4
2,1,0,2,0,1,1,0,1,0,1,3,0,3,0,0,1,0,1,20,3,9
2,2,0,2,1,0,0,1,1,1,0,2,0,3,0,1,1,1,0,18,1,7
1,1,1,0,0,1,1,1,1,1,1,1,1,2,0,1,1,0,2,11,1,11
